  0.20241452E+01 -0.37652776E+01
  0.20385562E+01 -0.37420171E+01
  0.20529671E+01 -0.37185884E+01
  0.20673780E+01 -0.36951274E+01
  0.20817890E+01 -0.36718473E+01
  0.20961999E+01 -0.36490116E+01
  0.21106109E+01 -0.36268997E+01
  0.21250218E+01 -0.36057719E+01
  0.21394327E+01 -0.35858419E+01
  0.21538437E+01 -0.35672620E+01
  0.21682546E+01 -0.35501260E+01
  0.21826656E+01 -0.35344871E+01
  0.21970765E+01 -0.35203876E+01
  0.22114874E+01 -0.35078922E+01
  0.22258984E+01 -0.34971175E+01
  0.22403093E+01 -0.34882486E+01
  0.22547202E+01 -0.34815380E+01
  0.22691312E+01 -0.34772857E+01
  0.22835421E+01 -0.34758032E+01
  0.22980784E+01 -0.34773957E+01
  0.23126146E+01 -0.34822934E+01
  0.23271509E+01 -0.34905858E+01
  0.23416871E+01 -0.35022327E+01
  0.23562234E+01 -0.35170741E+01
  0.23707596E+01 -0.35348640E+01
  0.23852959E+01 -0.35553209E+01
  0.23998321E+01 -0.35781858E+01
  0.24143684E+01 -0.36032752E+01
  0.24289046E+01 -0.36305173E+01
  0.24434409E+01 -0.36599639E+01
  0.24579771E+01 -0.36917754E+01
  0.24725134E+01 -0.37261819E+01
  0.24870496E+01 -0.37634293E+01
  0.25015859E+01 -0.38037208E+01
  0.25161221E+01 -0.38471677E+01
  0.25306584E+01 -0.38937580E+01
  0.25451946E+01 -0.39433494E+01
  0.25597309E+01 -0.39956862E+01
  0.25742671E+01 -0.40504370E+01
  0.25888034E+01 -0.41072438E+01
  0.26033396E+01 -0.41657728E+01
  0.26178759E+01 -0.42257564E+01
  0.26324121E+01 -0.42870192E+01
  0.26469484E+01 -0.43494819E+01
  0.26614846E+01 -0.44131451E+01
  0.26760209E+01 -0.44780574E+01
  0.26905571E+01 -0.45442743E+01
  0.27050934E+01 -0.46118192E+01
  0.27196296E+01 -0.46806536E+01
  0.27341659E+01 -0.47506620E+01
  0.27487021E+01 -0.48216560E+01
  0.27632384E+01 -0.48933936E+01
  0.27777746E+01 -0.49656111E+01
  0.27923109E+01 -0.50380611E+01
  0.28068471E+01 -0.51105460E+01
  0.28213834E+01 -0.51829435E+01
  0.28359196E+01 -0.52552143E+01
  0.28504559E+01 -0.53273950E+01
  0.28649921E+01 -0.53995737E+01
  0.28795284E+01 -0.54718573E+01
  0.28940647E+01 -0.55443355E+01
  0.29086009E+01 -0.56170502E+01
  0.29231372E+01 -0.56899742E+01
  0.29376734E+01 -0.57630051E+01
  0.29522097E+01 -0.58359731E+01
  0.29667459E+01 -0.59086620E+01
  0.29812822E+01 -0.59808392E+01
  0.29958184E+01 -0.60522897E+01
  0.30103547E+01 -0.61228460E+01
  0.30248909E+01 -0.61924094E+01
  0.30394272E+01 -0.62609555E+01
  0.30539634E+01 -0.63285255E+01
  0.30684997E+01 -0.63952031E+01
