 written on  7Feb2026 at 00:39:53 
           2
         633
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1
  -16   -9    0    1    1   -0.000632    0.000000
  -16   -9    0    2    1    0.004122    0.000017
  -16   -9    0    1    2   -0.007875    0.000037
  -16   -9    0    2    2    0.000351   -0.000000
  -16   -8    0    1    1    0.002723    0.000002
  -16   -8    0    2    1    0.004110    0.000018
  -16   -8    0    1    2    0.000544    0.000069
  -16   -8    0    2    2   -0.000672   -0.000002
  -16   -7    0    1    1   -0.000633    0.000001
  -16   -7    0    2    1   -0.005539    0.000039
  -16   -7    0    1    2    0.000542    0.000058
  -16   -7    0    2    2    0.000352   -0.000001
  -15  -10    0    1    1   -0.002070    0.000001
  -15  -10    0    2    1   -0.007869    0.000047
  -15  -10    0    1    2   -0.001461   -0.000056
  -15  -10    0    2    2    0.000443   -0.000001
  -15   -9    0    1    1   -0.001970    0.000000
  -15   -9    0    2    1   -0.005532    0.000023
  -15   -9    0    1    2   -0.001911   -0.000039
  -15   -9    0    2    2    0.000645   -0.000000
  -15   -8    0    1    1   -0.001325   -0.000002
  -15   -8    0    2    1    0.001915   -0.000046
  -15   -8    0    1    2   -0.001119   -0.000091
  -15   -8    0    2    2    0.000179    0.000002
  -15   -7    0    1    1   -0.001327   -0.000003
  -15   -7    0    2    1   -0.005538    0.000015
  -15   -7    0    1    2   -0.000756   -0.000114
  -15   -7    0    2    2    0.000181    0.000003
  -15   -6    0    1    1   -0.001970   -0.000002
  -15   -6    0    2    1   -0.007857    0.000031
  -15   -6    0    1    2   -0.001153   -0.000068
  -15   -6    0    2    2    0.000645    0.000002
  -15   -5    0    1    1   -0.002068   -0.000001
  -15   -5    0    2    1    0.001231   -0.000032
  -15   -5    0    1    2   -0.001901   -0.000046
  -15   -5    0    2    2    0.000441    0.000001
  -14  -11    0    1    1   -0.001454    0.000002
  -14  -11    0    2    1    0.001755   -0.000046
  -14  -11    0    1    2    0.009486    0.000024
  -14  -11    0    2    2   -0.000434   -0.000002
  -14  -10    0    1    1   -0.001268   -0.000001
  -14  -10    0    2    1    0.001216   -0.000035
  -14  -10    0    1    2   -0.000341   -0.000037
  -14  -10    0    2    2    0.000063    0.000001
  -14   -9    0    1    1    0.002469    0.000001
  -14   -9    0    2    1    0.002465   -0.000005
  -14   -9    0    1    2    0.002989    0.000018
  -14   -9    0    2    2   -0.000643   -0.000001
  -14   -8    0    1    1    0.001688    0.000001
  -14   -8    0    2    1    0.002204   -0.000050
  -14   -8    0    1    2    0.008625    0.000041
  -14   -8    0    2    2   -0.000550   -0.000001
  -14   -7    0    1    1   -0.000732   -0.000001
  -14   -7    0    2    1    0.002202   -0.000043
  -14   -7    0    1    2    0.001298   -0.000031
  -14   -7    0    2    2    0.000005    0.000001
  -14   -6    0    1    1    0.001686    0.000001
  -14   -6    0    2    1    0.002460    0.000005
  -14   -6    0    1    2    0.001272    0.000003
  -14   -6    0    2    2   -0.000549   -0.000001
  -14   -5    0    1    1    0.002471    0.000002
  -14   -5    0    2    1    0.001218   -0.000034
  -14   -5    0    1    2    0.008616    0.000041
  -14   -5    0    2    2   -0.000646   -0.000002
  -14   -4    0    1    1   -0.001268    0.000002
  -14   -4    0    2    1    0.001761   -0.000041
  -14   -4    0    1    2    0.003007   -0.000025
  -14   -4    0    2    2    0.000063   -0.000002
  -14   -3    0    1    1   -0.001456    0.000003
  -14   -3    0    2    1    0.003136   -0.000003
  -14   -3    0    1    2   -0.000364   -0.000030
  -14   -3    0    2    2   -0.000433   -0.000003
  -13  -12    0    1    1    0.000881   -0.000003
  -13  -12    0    2    1    0.013139   -0.000033
  -13  -12    0    1    2    0.007228   -0.000050
  -13  -12    0    2    2   -0.001356    0.000003
  -13  -11    0    1    1    0.001354    0.000000
  -13  -11    0    2    1    0.003171    0.000012
  -13  -11    0    1    2    0.007173    0.000035
  -13  -11    0    2    2   -0.000861   -0.000000
  -13  -10    0    1    1   -0.000050   -0.000000
  -13  -10    0    2    1   -0.002580    0.000025
  -13  -10    0    1    2   -0.003028    0.000038
  -13  -10    0    2    2    0.000496    0.000000
