0	-13.87896
0.0116	-13.91214
0.02321	-13.94509
0.03481	-13.97778
0.04642	-14.01021
0.05802	-14.04234
0.06963	-14.07415
0.08123	-14.10563
0.09284	-14.13676
0.10444	-14.16753
0.11605	-14.19791
0.12765	-14.22788
0.13926	-14.25744
0.15086	-14.28656
0.16247	-14.31524
0.17407	-14.34346
0.18568	-14.3712
0.19728	-14.39846
0.20889	-14.42521
0.22049	-14.45146
0.2321	-14.47719
0.2437	-14.50238
0.25531	-14.52703
0.26691	-14.55112
0.27852	-14.57466
0.29012	-14.59762
0.30173	-14.62
0.31333	-14.64179
0.32493	-14.66299
0.33654	-14.68358
0.34814	-14.70357
0.35975	-14.72293
0.37135	-14.74167
0.38296	-14.75978
0.39456	-14.77725
0.40617	-14.79407
0.41777	-14.81025
0.42938	-14.82578
0.44098	-14.84065
0.45259	-14.85485
0.46419	-14.86839
0.4758	-14.88126
0.4874	-14.89345
0.49901	-14.90497
0.51061	-14.91581
0.52222	-14.92595
0.53382	-14.93541
0.54543	-14.94419
0.55703	-14.95226
0.56864	-14.95965
0.58024	-14.96634
0.59185	-14.97232
0.60345	-14.97761
0.61506	-14.98219
0.62666	-14.98607
0.63827	-14.98925
0.64987	-14.99172
0.66147	-14.99349
0.67308	-14.99455
0.68468	-14.9949
0.68468	-14.9949
0.70084	-14.99404
0.717	-14.99147
0.73316	-14.98717
0.74932	-14.98117
0.76547	-14.97344
0.78163	-14.964
0.79779	-14.95284
0.81395	-14.93998
0.8301	-14.9254
0.84626	-14.90911
0.86242	-14.89111
0.87858	-14.87142
0.89473	-14.85002
0.91089	-14.82693
0.92705	-14.80214
0.94321	-14.77566
0.95937	-14.7475
0.97552	-14.71765
0.99168	-14.68613
1.00784	-14.65293
1.024	-14.61807
1.04015	-14.58154
1.05631	-14.54336
1.07247	-14.50352
1.08863	-14.46205
1.10478	-14.41894
1.12094	-14.3742
1.1371	-14.32784
1.15326	-14.27988
1.16942	-14.2303
1.18557	-14.17914
1.20173	-14.1264
1.21789	-14.0721
1.23405	-14.01623
1.2502	-13.95881
1.26636	-13.89986
1.28252	-13.8394
1.29868	-13.77743
1.31483	-13.71397
1.33099	-13.64904
1.34715	-13.58265
1.36331	-13.51483
1.37947	-13.44559
1.39562	-13.37496
1.41178	-13.30296
1.42794	-13.22962
1.4441	-13.15495
1.46025	-13.079
1.47641	-13.00177
1.49257	-12.92332
1.50873	-12.84367
1.52488	-12.76286
1.54104	-12.68092
1.5572	-12.5979
1.57336	-12.51383
1.58952	-12.42878
1.60567	-12.34278
1.62183	-12.25589
1.63799	-12.16818

1.63799	-12.16818
1.62183	-12.0797
1.60567	-11.99052
1.58952	-11.90072
1.57336	-11.81037
1.5572	-11.71956
